Source,Target,Type,Id,Label,timeset,Weight
402,3599,Directed,11868,,,1
402,1501,Directed,11869,,,1
402,3812,Directed,11870,,,1
1148,3659,Directed,11871,,,1
1245,1552,Directed,11872,,,1
1245,2932,Directed,11873,,,1
68,3168,Directed,11874,,,1
68,1533,Directed,11875,,,1
68,1512,Directed,11876,,,1
68,1513,Directed,11877,,,1
68,1514,Directed,11878,,,1
68,1515,Directed,11879,,,1
68,1516,Directed,11880,,,1
68,3567,Directed,11881,,,1
68,1518,Directed,11882,,,1
68,3344,Directed,11883,,,1
68,2625,Directed,11884,,,1
68,1521,Directed,11885,,,1
68,1522,Directed,11886,,,1
219,2182,Directed,11887,,,1
219,1524,Directed,11888,,,1
219,1525,Directed,11889,,,1
219,1526,Directed,11890,,,1
219,1527,Directed,11891,,,1
154,3708,Directed,11892,,,1
154,1529,Directed,11893,,,1
408,2203,Directed,11894,,,1
408,3653,Directed,11895,,,1
98,1533,Directed,11896,,,1
661,1534,Directed,11897,,,1
661,1535,Directed,11898,,,1
661,3344,Directed,11899,,,1
661,3117,Directed,11900,,,1
661,1538,Directed,11901,,,1
327,3713,Directed,11902,,,1
327,1541,Directed,11903,,,1
327,2816,Directed,11904,,,1
327,1727,Directed,11905,,,1
327,2818,Directed,11906,,,1
328,3713,Directed,11907,,,1
328,3913,Directed,11908,,,1
328,1548,Directed,11909,,,1
570,1550,Directed,11910,,,1
570,3488,Directed,11911,,,1
570,1552,Directed,11912,,,1
570,2932,Directed,11913,,,1
119,1554,Directed,11914,,,1
119,3662,Directed,11915,,,1
119,2437,Directed,11916,,,1
119,3159,Directed,11917,,,1
490,3511,Directed,11918,,,1
941,3806,Directed,11919,,,1
778,3980,Directed,11920,,,1
778,1573,Directed,11921,,,1
778,1574,Directed,11922,,,1
778,3841,Directed,11923,,,1
778,1576,Directed,11924,,,1
1033,3158,Directed,11925,,,1
555,3821,Directed,11926,,,1
938,3894,Directed,11927,,,1
938,3288,Directed,11928,,,1
938,1586,Directed,11929,,,1
938,2887,Directed,11930,,,1
481,3523,Directed,11931,,,1
385,2099,Directed,11932,,,1
385,3082,Directed,11933,,,1
380,2747,Directed,11934,,,1
69,3168,Directed,11935,,,1
1306,3446,Directed,11936,,,1
474,3720,Directed,11937,,,1
474,3738,Directed,11938,,,1
474,3677,Directed,11939,,,1
474,3485,Directed,11940,,,1
48,1621,Directed,11941,,,1
48,1622,Directed,11942,,,1
48,1623,Directed,11943,,,1
48,1624,Directed,11944,,,1
48,1625,Directed,11945,,,1
48,1626,Directed,11946,,,1
48,1627,Directed,11947,,,1
48,1628,Directed,11948,,,1
48,1629,Directed,11949,,,1
48,1630,Directed,11950,,,1
48,1631,Directed,11951,,,1
48,1632,Directed,11952,,,1
48,1633,Directed,11953,,,1
48,2856,Directed,11954,,,1
48,1635,Directed,11955,,,1
48,1636,Directed,11956,,,1
48,1637,Directed,11957,,,1
48,3506,Directed,11958,,,1
48,3974,Directed,11959,,,1
48,1640,Directed,11960,,,1
48,1641,Directed,11961,,,1
48,1642,Directed,11962,,,1
48,1643,Directed,11963,,,1
743,3805,Directed,11964,,,1
965,3467,Directed,11965,,,1
442,1660,Directed,11966,,,1
137,3631,Directed,11967,,,1
137,3708,Directed,11968,,,1
137,1663,Directed,11969,,,1
137,3278,Directed,11970,,,1
137,3852,Directed,11971,,,1
137,3246,Directed,11972,,,1
137,3677,Directed,11973,,,1
137,3492,Directed,11974,,,1
137,1669,Directed,11975,,,1
137,3251,Directed,11976,,,1
137,1671,Directed,11977,,,1
137,3957,Directed,11978,,,1
137,1673,Directed,11979,,,1
137,2899,Directed,11980,,,1
137,2840,Directed,11981,,,1
137,1676,Directed,11982,,,1
137,1677,Directed,11983,,,1
137,3397,Directed,11984,,,1
137,2253,Directed,11985,,,1
977,3943,Directed,11986,,,1
958,3917,Directed,11987,,,1
208,1687,Directed,11988,,,1
208,1688,Directed,11989,,,1
208,1689,Directed,11990,,,1
208,1690,Directed,11991,,,1
208,1691,Directed,11992,,,1
208,1692,Directed,11993,,,1
208,1693,Directed,11994,,,1
208,1694,Directed,11995,,,1
208,3951,Directed,11996,,,1
208,1696,Directed,11997,,,1
208,1697,Directed,11998,,,1
208,1698,Directed,11999,,,1
208,1699,Directed,12000,,,1
784,3781,Directed,12001,,,1
784,3250,Directed,12002,,,1
283,3236,Directed,12003,,,1
485,1709,Directed,12004,,,1
485,3249,Directed,12005,,,1
954,3288,Directed,12006,,,1
986,3325,Directed,12007,,,1
54,1719,Directed,12008,,,1
54,3514,Directed,12009,,,1
54,2722,Directed,12010,,,1
54,3080,Directed,12011,,,1
54,2099,Directed,12012,,,1
54,2000,Directed,12013,,,1
54,2792,Directed,12014,,,1
54,1726,Directed,12015,,,1
54,1727,Directed,12016,,,1
54,3896,Directed,12017,,,1
54,1729,Directed,12018,,,1
54,1730,Directed,12019,,,1
54,1731,Directed,12020,,,1
54,3023,Directed,12021,,,1
54,3158,Directed,12022,,,1
54,1734,Directed,12023,,,1
54,1735,Directed,12024,,,1
54,1736,Directed,12025,,,1
54,1737,Directed,12026,,,1
54,3025,Directed,12027,,,1
54,1739,Directed,12028,,,1
54,3027,Directed,12029,,,1
54,1741,Directed,12030,,,1
54,3860,Directed,12031,,,1
54,1743,Directed,12032,,,1
815,3772,Directed,12033,,,1
815,3931,Directed,12034,,,1
1081,2120,Directed,12035,,,1
325,1750,Directed,12036,,,1
325,3079,Directed,12037,,,1
325,1752,Directed,12038,,,1
325,1753,Directed,12039,,,1
325,1754,Directed,12040,,,1
325,1755,Directed,12041,,,1
325,1756,Directed,12042,,,1
325,1757,Directed,12043,,,1
325,1758,Directed,12044,,,1
325,1759,Directed,12045,,,1
325,1760,Directed,12046,,,1
325,1761,Directed,12047,,,1
325,3958,Directed,12048,,,1
325,1763,Directed,12049,,,1
